na_item,mapping
P2,Intermediate consumption
P3,Final consumption expenditure
P31,Individual consumption expenditure
P32,Collective consumption expenditure
P5,Gross capital formation
P51G,Gross fixed capital formation
D1,Compensation of employees
D3,Subsidies
P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements"
D29_D5_D8,"Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements"
D4,Property income
D4_S1311,"Property income, of which payable to subsector S1311"
D4_S1312,"Property income, of which payable to subsector S1312"
D4_S1313,"Property income, of which payable to subsector S1313"
D4_S1314,"Property income, of which payable to subsector S1314"
D62_D632,"Social benefits other than social transfers in kind and social transfers in kind - purchased market production"
D62,Social benefits other than social transfers in kind
D632,Social transfers in kind - purchased market production
D7,Other current transfers
D7_S1311,"Other current transfers, of which payable to subsector S1311"
D7_S1312,"Other current transfers, of which payable to subsector S1312"
D7_S1313,"Other current transfers, of which payable to subsector S1313"
D7_S1314,"Other current transfers, of which payable to subsector S1314"
D9,Capital transfers
D92,Investment grants
D9_S1311,"Capital transfers, of which payable to subsector S1311"
D9_S1312,"Capital transfers, of which payable to subsector S1312"
D9_S1313,"Capital transfers, of which payable to subsector S1313"
D9_S1314,"Capital transfers, of which payable to subsector S1314"
OP5ANP,"Gross capital formation and acquisitions less disposals of non-financial non-produced assets"
NP,Acquisitions less disposals of non-financial non-produced assets
TE,Total general government expenditure
